IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2212608
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
RAM REUSE VERIFIED 1990656
RAM REUSE VERIFIED 1994752
RAM REUSE VERIFIED 1998848
RAM REUSE VERIFIED 2002944
RAM REUSE VERIFIED 2007040
RAM REUSE VERIFIED 2011136
RAM REUSE VERIFIED 2015232
RAM REUSE VERIFIED 2019328
RAM REUSE VERIFIED 2023424
RAM REUSE VERIFIED 2027520
RAM REUSE VERIFIED 2031616
RAM REUSE VERIFIED 2035712
RAM REUSE VERIFIED 2039808
RAM REUSE VERIFIED 2043904
RAM REUSE VERIFIED 2048000
RAM REUSE VERIFIED 2052096
RAM REUSE VERIFIED 2056192
RAM REUSE VERIFIED 2060288
RAM REUSE VERIFIED 2064384
RAM REUSE VERIFIED 2068480
RAM REUSE VERIFIED 2072576
RAM REUSE VERIFIED 2076672
RAM REUSE VERIFIED 2080768
RAM REUSE VERIFIED 2084864
RAM REUSE VERIFIED 2088960
RAM REUSE VERIFIED 2093056
RAM REUSE VERIFIED 2097152
RAM REUSE VERIFIED 2101248
RAM REUSE VERIFIED 2105344
RAM REUSE VERIFIED 2109440
RAM REUSE VERIFIED 2113536
RAM REUSE VERIFIED 2117632
RAM REUSE VERIFIED 2121728
RAM REUSE VERIFIED 2125824
RAM REUSE VERIFIED 2129920
RAM REUSE VERIFIED 2134016
RAM REUSE VERIFIED 2138112
RAM REUSE VERIFIED 2142208
RAM REUSE VERIFIED 2146304
RAM REUSE VERIFIED 2150400
RAM REUSE VERIFIED 2154496
RAM REUSE VERIFIED 2158592
