IMAGE 2229232 bc1ec4b367e5eb46f3f629ef69658aae316cbb938f0eb4627b22d39f9cecdf29
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2229232
CRC VERIFIED 1323008/2229232 (5.1s)
CRC VERIFIED 1327104/2229232 (5.1s)
CRC VERIFIED 1331200/2229232 (5.1s)
CRC VERIFIED 1335296/2229232 (5.1s)
CRC VERIFIED 1339392/2229232 (5.1s)
CRC VERIFIED 1343488/2229232 (5.1s)
CRC VERIFIED 1347584/2229232 (5.2s)
CRC VERIFIED 1351680/2229232 (5.2s)
CRC VERIFIED 1355776/2229232 (5.2s)
CRC VERIFIED 1359872/2229232 (5.2s)
CRC VERIFIED 1363968/2229232 (5.2s)
CRC VERIFIED 1368064/2229232 (5.2s)
CRC VERIFIED 1372160/2229232 (5.2s)
CRC VERIFIED 1376256/2229232 (5.3s)
CRC VERIFIED 1380352/2229232 (5.3s)
CRC VERIFIED 1384448/2229232 (5.3s)
CRC VERIFIED 1388544/2229232 (5.3s)
CRC VERIFIED 1392640/2229232 (5.3s)
CRC VERIFIED 1396736/2229232 (5.3s)
CRC VERIFIED 1400832/2229232 (5.4s)
CRC VERIFIED 1404928/2229232 (5.4s)
CRC VERIFIED 1409024/2229232 (5.4s)
CRC VERIFIED 1413120/2229232 (5.4s)
CRC VERIFIED 1417216/2229232 (5.4s)
CRC VERIFIED 1421312/2229232 (5.4s)
CRC VERIFIED 1425408/2229232 (5.5s)
CRC VERIFIED 1429504/2229232 (5.5s)
CRC VERIFIED 1433600/2229232 (5.5s)
CRC VERIFIED 1437696/2229232 (5.5s)
CRC VERIFIED 1441792/2229232 (5.5s)
CRC VERIFIED 1445888/2229232 (5.5s)
CRC VERIFIED 1449984/2229232 (5.5s)
CRC VERIFIED 1454080/2229232 (5.6s)
CRC VERIFIED 1458176/2229232 (5.6s)
CRC VERIFIED 1462272/2229232 (5.6s)
CRC VERIFIED 1466368/2229232 (5.6s)
CRC VERIFIED 1470464/2229232 (5.6s)
CRC VERIFIED 1474560/2229232 (5.7s)
CRC VERIFIED 1478656/2229232 (5.7s)
CRC VERIFIED 1482752/2229232 (5.7s)
CRC VERIFIED 1486848/2229232 (5.7s)
CRC VERIFIED 1490944/2229232 (5.7s)
CRC VERIFIED 1495040/2229232 (5.7s)
CRC VERIFIED 1499136/2229232 (5.8s)
CRC VERIFIED 1503232/2229232 (5.8s)
CRC VERIFIED 1507328/2229232 (5.8s)
CRC VERIFIED 1511424/2229232 (5.8s)
CRC VERIFIED 1515520/2229232 (5.8s)
CRC VERIFIED 1519616/2229232 (5.8s)
CRC VERIFIED 1523712/2229232 (5.8s)
CRC VERIFIED 1527808/2229232 (5.9s)
CRC VERIFIED 1531904/2229232 (5.9s)
CRC VERIFIED 1536000/2229232 (5.9s)
CRC VERIFIED 1540096/2229232 (5.9s)
CRC VERIFIED 1544192/2229232 (5.9s)
